,name,price,review_count,rating,barrio,address
142,Le Pain Quotidien,$$,47,4.0,Palermo,"Jerónimo Salguero 3075, 1425 Buenos Aires, Argentina"
143,Pride Café,$$,20,4.0,San Telmo,"Balcarce 869, 1064 Buenos Aires, Argentina"
144,Club Sueco,$$$$,3,3.5,Monserrat,"Tacuarí 147, Buenos Aires, Argentina"
145,Full City Coffee House,$$,86,4.0,Palermo,"Thames 1535, 1414 Buenos Aires, Argentina"
146,Helena Resto Bar,$$,22,3.5,Palermo,"Nicaragua 4816, 1414 Buenos Aires, Argentina"
147,Impala del Parque,$$$,6,4.0,Parque Chacabuco,"Av. Eva Perón 1704, Buenos Aires, Argentina"
148,Tostado Café Club,$$,8,4.5,Retiro,"Av. Santa Fe 909, C1059ABD Buenos Aires, Argentina"
149,Impala del Parque,$$,1,3.0,Caballito,"Rosario 495, C1424 Buenos Aires, Argentina"
150,Tres Buenas,,1,4.0,Balvanera,"Ayacucho 580, Buenos Aires, Argentina"
151,Mom & Dad,,1,3.0,Palermo,"Soldado de la Independencia 799, C1426BTG Buenos Aires, Argentina"
152,Croque Madame,$$,10,3.5,Recoleta,"Avenida Callao 1569, C1024AAB Buenos Aires, Argentina"
153,Le Pain Quotidien,$$,14,3.5,Recoleta,"Vicente López 2050, Buenos Aires, Argentina"
154,Crisol,$$,5,4.0,Palermo,"Av. del Libertador 4984, C1426BWX Buenos Aires, Argentina"
155,Palermo Café,$$,2,4.0,Palermo,"Av. Santa Fe 4569, C1425 Buenos Aires, Argentina"
156,Café Martínez,,1,4.0,Flores,"Av. Carabobo 43, C1406DGA Buenos Aires, Argentina"
157,Pulpería Quilapán,$$,23,4.0,San Telmo,"Defensa 1344, C1143AAD Buenos Aires, Argentina"
158,Decata,$$,12,3.5,Palermo,"Soldado de la Independencia 670, 1426 Buenos Aires, Argentina"
159,Gaspar café,$$,3,4.5,Palermo,"José Antonio Cabrera 4725, C1414 Buenos Aires, Argentina"
160,Croque Madame,$$,5,4.0,Puerto Madero,"Olga Cossettini 141, 1107 Buenos Aires, Argentina"
